Year	successMeasure	nWeeks	Track	Artist	songLength
1950	weeksInTop100	27	The Third Man Theme	Anton Karas	131
1950	weeksInTop40	NA	The Third Man Theme	Anton Karas	131
1950	weeksInTop10	NA	The Third Man Theme	Anton Karas	131
1951	weeksInTop100	34	Be My Love	Mario Lanza	208
1951	weeksInTop40	NA	Be My Love	Mario Lanza	208
1951	weeksInTop10	NA	Be My Love	Mario Lanza	208
1952	weeksInTop100	38	Blue Tango	Leroy Anderson & His Pops Concert Orchestra	171
1952	weeksInTop40	NA	Blue Tango	Leroy Anderson & His Pops Concert Orchestra	171
1952	weeksInTop10	NA	Blue Tango	Leroy Anderson & His Pops Concert Orchestra	171
1953	weeksInTop100	31	Vaya Con Dios (May God Be With You)	Les Paul & Mary Ford	171
1953	weeksInTop40	NA	Vaya Con Dios (May God Be With You)	Les Paul & Mary Ford	171
1953	weeksInTop10	NA	Vaya Con Dios (May God Be With You)	Les Paul & Mary Ford	171
1954	weeksInTop100	1	Oh, That'll be Joyful	Four Lads	155
1954	weeksInTop40	NA	Oh, That'll be Joyful	Four Lads	155
1954	weeksInTop10	NA	Oh, That'll be Joyful	Four Lads	155
1955	weeksInTop100	27	Melody Of Love	Billy Vaughn	175
1955	weeksInTop40	NA	Melody Of Love	Billy Vaughn	175
1955	weeksInTop10	NA	Cherry Pink And Apple Blossom White	Perez Prado and His Orchestra	176
1956	weeksInTop100	31	Canadian Sunset	Hugo Winterhalter	170
1956	weeksInTop40	24	Lisbon Antigua	Nelson Riddle and His Orchestra	153
1956	weeksInTop10	21	Don't Be Cruel	Elvis Presley	123
1957	weeksInTop100	39	Wonderful! Wonderful!	Johnny Mathis	167
1957	weeksInTop40	NA	So Rare	Jimmy Dorsey	150
1957	weeksInTop10	NA	So Rare	Jimmy Dorsey	150
1958	weeksInTop100	30	All The Way	Frank Sinatra	170
1958	weeksInTop40	NA	Chantilly Lace	Big Bopper	140
1958	weeksInTop10	NA	Patricia	Perez Prado and His Orchestra	138
1959	weeksInTop100	26	Mack The Knife	Bobby Darin	184
1959	weeksInTop40	22	Mack The Knife	Bobby Darin	184
1959	weeksInTop10	16	Mack The Knife	Bobby Darin	184
1960	weeksInTop100	27	Running Bear	Johnny Preston	153
1960	weeksInTop40	20	He'll Have To Go	Jim Reeves	136
1960	weeksInTop10	12	The Theme From A Summer Place	Percy Faith	144
1961	weeksInTop100	26	Moon River	Henry Mancini, His Orchestra and Chorus	161
1961	weeksInTop40	18	Exodus	Ferrante and Teicher	174
1961	weeksInTop10	12	Tossin' And Turnin'	Bobby Lewis	150
1962	weeksInTop100	23	Limbo Rock	Chubby Checker	142
1962	weeksInTop40	18	The Twist	Chubby Checker	152
1962	weeksInTop10	13	The Twist	Chubby Checker	152
1963	weeksInTop100	20	Up On The Roof	Drifters, The	154
1963	weeksInTop40	13	Sugar Shack	Jimmy Gilmer	121
1963	weeksInTop10	10	Sugar Shack	Jimmy Gilmer	121
1964	weeksInTop100	22	Hello, Dolly!	Louis Armstrong	142
1964	weeksInTop40	19	Hello, Dolly!	Louis Armstrong	142
1964	weeksInTop10	13	Hello, Dolly!	Louis Armstrong	142
1965	weeksInTop100	18	Wooly Bully	Sam the Sham and the Pharaohs	140
1965	weeksInTop40	14	Wooly Bully	Sam the Sham and the Pharaohs	140
1965	weeksInTop10	10	I Can't Help Myself	Four Tops	163
