Year	Count	Total	Proportion
1956	11	505	0.0217821782178218
1957	6	496	0.0120967741935484
1958	4	530	0.00754716981132075
1959	5	576	0.00868055555555556
1960	15	602	0.0249169435215947
1961	12	681	0.0176211453744493
1962	14	676	0.0207100591715976
1963	13	658	0.0197568389057751
1964	5	718	0.00696378830083565
1965	27	717	0.0376569037656904
1966	20	743	0.0269179004037685
1967	45	739	0.060893098782138
1968	83	686	0.120991253644315
1969	138	672	0.205357142857143
1970	161	653	0.246554364471669
1971	161	635	0.253543307086614
1972	236	591	0.399323181049069
1973	237	536	0.442164179104478
1974	223	496	0.449596774193548
1975	250	568	0.440140845070423
1976	277	534	0.5187265917603
1977	280	473	0.591966173361522
1978	292	453	0.644591611479029
1979	346	476	0.726890756302521
1980	343	474	0.723628691983122
1981	292	408	0.715686274509804
1982	310	424	0.731132075471698
1983	373	452	0.825221238938053
1984	391	435	0.898850574712644
1985	370	405	0.91358024691358
1986	374	397	0.942065491183879
1987	359	398	0.902010050251256
1988	355	387	0.917312661498708
1989	365	392	0.931122448979592
1990	359	376	0.954787234042553
1991	360	385	0.935064935064935
1992	342	371	0.921832884097035
1993	321	349	0.919770773638969
1994	306	345	0.88695652173913
1995	333	357	0.932773109243697
1996	302	324	0.932098765432099
1997	320	341	0.93841642228739
1998	312	346	0.901734104046243
1999	262	315	0.831746031746032
2000	281	317	0.886435331230284
2001	261	301	0.867109634551495
2002	269	295	0.911864406779661
2003	281	312	0.900641025641026
2004	262	306	0.856209150326797
2005	297	342	0.868421052631579
2006	295	363	0.81267217630854
2007	288	349	0.825214899713467
2008	329	396	0.830808080808081
2009	339	436	0.777522935779816
2010	369	483	0.763975155279503
2011	380	497	0.764587525150905
2012	303	374	0.810160427807487
2013	259	331	0.782477341389728
