Year	stat	songLength
1950	min	120
1950	max	213
1950	avg	169.581081081081
1951	min	94
1951	max	246
1951	avg	167.245689655172
1952	min	107
1952	max	367
1952	avg	164.554794520548
1953	min	95
1953	max	405
1953	avg	164.58125
1954	min	155
1954	max	155
1954	avg	155
1955	min	99
1955	max	370
1955	avg	155.829457364341
1956	min	93
1956	max	335
1956	avg	153.445544554455
1957	min	83
1957	max	220
1957	avg	146.532258064516
1958	min	86
1958	max	410
1958	avg	142.883018867925
1959	min	77
1959	max	249
1959	avg	142.675347222222
1960	min	94
1960	max	282
1960	avg	148.224252491694
1961	min	88
1961	max	495
1961	avg	147.819383259912
1962	min	90
1962	max	354
1962	avg	149.658284023669
1963	min	85
1963	max	271
1963	avg	149.326747720365
1964	min	62
1964	max	219
1964	avg	148.880222841226
1965	min	97
1965	max	360
1965	avg	154.813110181311
1966	min	90
1966	max	333
1966	avg	156.706594885599
1967	min	86
1967	max	298
1967	avg	161.462787550744
1968	min	108
1968	max	440
1968	avg	169.991253644315
1969	min	105
1969	max	444
1969	avg	179.852678571429
1970	min	98
1970	max	413
1970	avg	185.787136294028
1971	min	114
1971	max	410
1971	avg	186.088188976378
1972	min	87
1972	max	516
1972	avg	199.961082910321
1973	min	86
1973	max	391
1973	avg	200.811567164179
1974	min	120
1974	max	390
1974	avg	198.602822580645
1975	min	117
1975	max	444
1975	avg	200.00176056338
1976	min	125
1976	max	570
1976	avg	206.97191011236
1977	min	118
1977	max	391
1977	avg	207.501057082452
1978	min	115
1978	max	475
1978	avg	213.187637969095
1979	min	130
1979	max	437
1979	avg	217.878151260504
1980	min	126
1980	max	396
1980	avg	217.362869198312
1981	min	131
1981	max	393
1981	avg	219.171568627451
1982	min	126
1982	max	347
1982	avg	217.141509433962
1983	min	131
1983	max	367
1983	avg	226.964601769911
1984	min	146
1984	max	372
1984	avg	232.742528735632
1985	min	146
1985	max	382
1985	avg	236.123456790123
1986	min	136
1986	max	375
1986	avg	239.790931989924
1987	min	129
1987	max	352
1987	avg	237.572864321608
1988	min	105
1988	max	361
1988	avg	240.8165374677
1989	min	165
1989	max	444
1989	avg	245.298469387755
1990	min	170
1990	max	400
1990	avg	247.590425531915
1991	min	129
1991	max	489
1991	avg	247.888311688312
1992	min	125
1992	max	536
1992	avg	255.88948787062
1993	min	144
1993	max	423
1993	avg	253.593123209169
1994	min	117
1994	max	392
1994	avg	244.550724637681
1995	min	127
1995	max	455
1995	avg	249.927170868347
1996	min	156
1996	max	410
1996	avg	250.237654320988
1997	min	155
1997	max	443
1997	avg	247.671554252199
1998	min	149
1998	max	392
1998	avg	239.742774566474
1999	min	142
1999	max	429
1999	avg	235.387301587302
2000	min	156
2000	max	470
2000	avg	242.425867507886
2001	min	129
2001	max	415
2001	avg	237.521594684385
2002	min	150
2002	max	370
2002	avg	239.46779661017
2003	min	162
2003	max	468
2003	avg	241.378205128205
2004	min	129
2004	max	394
2004	avg	235.467320261438
2005	min	130
2005	max	349
2005	avg	231.988304093567
2006	min	79
2006	max	380
2006	avg	226.603305785124
2007	min	125
2007	max	448
2007	avg	231.329512893983
2008	min	116
2008	max	515
2008	avg	236.169191919192
2009	min	111
2009	max	392
2009	avg	229.094036697248
2010	min	111
2010	max	416
2010	avg	231.074534161491
2011	min	98
2011	max	436
2011	avg	226.861167002012
2012	min	131
2012	max	502
2012	avg	231.058823529412
2013	min	76
2013	max	484
2013	avg	232.462235649547
