Year	Track	Artist	Time	Date.Entered	nWeeksChart	nWeeksChartTop40	nWeeksChartTop10	nWeeksChartPeak	High	ScorePoints
1950	The Tennessee Waltz	Patti Page	3:03	11/18/50	26	NA	NA	13	1	
1951	Cry	Johnnie Ray & Four Lads	3:02	11/24/51	27	NA	NA	11	1	
1952	You Belong To Me	Jo Stafford	2:56	8/9/52	25	NA	NA	12	1	
1953	Vaya Con Dios (May God Be With You)	Les Paul & Mary Ford	2:51	6/20/53	31	NA	NA	11	1	
1954	Oh, That'll be Joyful	Four Lads	2:35	5/1/54	1	NA	NA	NA	30	
1955	Cherry Pink And Apple Blossom White	Perez Prado and His Orchestra	2:56	3/5/55	26	26	20	10	1	
1956	Don't Be Cruel	Elvis Presley	2:03	8/11/56	27	23	21	11	1	
1957	All Shook Up	Elvis Presley	1:58	4/6/57	30	22	15	9	1	
1958	At The Hop	Danny & The Juniors	2:31	12/9/57	21	18	12	7	1	
1959	It's Late	Ricky Nelson	1:56	3/2/59	13	10	3	1	9	997
1960	My Home Town	Paul Anka	2:28	5/23/60	13	9	2	2	8	978
1961	You Don't Know What You've Got (Until You Lose It)	Ral Donner	2:10	7/10/61	12	9	4	1	4	997
1962	You Don't Know Me	Ray Charles	3:13	7/28/62	11	9	5	1	2	997
1963	I Wanna Be Around	Tony Bennett	2:10	1/12/63	16	10	0	1	14	995
1964	Remember (Walkin' In The Sand)	Shangri-Las, The	2:18	8/22/64	11	9	6	3	5	997
1965	Child Of Our Times	Barry McGuire	3:00	11/6/65	4	0	0	1	72	99
1966	Bang Bang (My Baby Shot Me Down)	Cher	2:40	3/12/66	11	9	6	1	2	999
1967	(Your Love Keeps Lifting Me) Higher And Higher	Jackie Wilson	2:49	8/12/67	12	9	4	2	6	997
1968	Over You	Gary Puckett	2:22	9/21/68	11	10	4	2	7	998
1969	Cherry Hill Park	Billy Joe Royal	2:44	10/4/69	15	10	0	2	15	999
1970	Jingle Jangle	Archies, The	2:45	11/29/69	13	10	1	1	10	999
1971	She's Not Just Another Woman	8th Day, The	3:00	5/15/71	13	10	0	3	11	995
