Year	Count	Total	Proportion
1956	255	505	0.504950495049505
1957	252	496	0.508064516129032
1958	249	530	0.469811320754717
1959	252	576	0.4375
1960	251	602	0.416943521594684
1961	210	681	0.308370044052863
1962	243	676	0.359467455621302
1963	225	658	0.341945288753799
1964	203	718	0.282729805013928
1965	198	717	0.276150627615063
1966	180	743	0.242261103633917
1967	178	739	0.240866035182679
1968	197	686	0.287172011661808
1969	222	672	0.330357142857143
1970	220	653	0.336906584992343
1971	242	635	0.381102362204724
1972	252	591	0.426395939086294
1973	262	536	0.488805970149254
1974	241	496	0.485887096774194
1975	239	568	0.420774647887324
1976	223	534	0.417602996254682
1977	233	473	0.492600422832981
1978	263	453	0.580573951434879
1979	251	476	0.527310924369748
1980	271	474	0.571729957805907
1981	240	408	0.588235294117647
1982	260	424	0.613207547169811
1983	267	452	0.59070796460177
1984	263	435	0.604597701149425
1985	276	405	0.681481481481481
1986	268	397	0.675062972292191
1987	275	398	0.690954773869347
1988	269	387	0.695090439276486
1989	263	392	0.670918367346939
1990	265	376	0.704787234042553
1991	274	385	0.711688311688312
1992	264	371	0.711590296495957
1993	256	349	0.73352435530086
1994	249	345	0.721739130434783
1995	256	357	0.717086834733894
1996	247	324	0.762345679012346
1997	255	341	0.747800586510264
1998	240	346	0.69364161849711
1999	250	315	0.793650793650794
2000	242	317	0.763406940063092
2001	257	301	0.853820598006645
2002	242	295	0.820338983050847
2003	247	312	0.791666666666667
2004	245	306	0.800653594771242
2005	240	342	0.701754385964912
2006	219	363	0.603305785123967
2007	223	349	0.638968481375358
2008	239	396	0.603535353535353
2009	223	436	0.511467889908257
2010	227	483	0.469979296066253
2011	221	497	0.44466800804829
2012	204	374	0.545454545454545
2013	170	331	0.513595166163142
